created_at,id,updated_at,name,poster_url,quote
NULL,161,NULL,"포화 속으로",http://imgnews.naver.net/image/079/2010/05/13/12215759484_60800040.jpg,"
"
NULL,162,NULL,시동,http://imgnews.naver.net/image/117/2019/12/03/201912030829737330_1_20191203083904708.jpg,"
"
NULL,163,NULL,국제시장,https://i.pinimg.com/736x/d5/ac/0e/d5ac0e4c98efe8200bcce97b096690ce.jpg,"아버지 내 약속 잘 지켰지예, 이만하면 내 잘 살았지예, 근데 내 진짜 힘들었거든예"
NULL,164,NULL,곡녀,http://imgnews.naver.net/image/5610/2022/02/28/0000114192_001_20220228192206826.jpg,"
"
NULL,165,NULL,특수본,http://imgnews.naver.net/image/5061/2011/10/04/04g40900.jpg,"
"
NULL,166,NULL,"내 깡패 같은 애인",http://imgnews.naver.net/image/5034/2010/05/26/2010052628584511.jpg,"
"
NULL,168,NULL,"지금 사랑하는 사람과 살고 있습니까?",https://i.namu.wiki/i/Exxgu8n83LdNZ9CO2p9y3592myCIsuv9m6agRv2cCyW5ypeJq1KlfnIilPU_evsiDP5du0kwbXJ2nWUmGn2IfQ.webp,"
"
NULL,169,NULL,"탐정: 리턴즈",http://imgnews.naver.net/image/076/2018/02/12/2018021301001002800072751_20180212081354432.jpg,"
"
NULL,170,NULL,"신이 보낸 사람",http://imgnews.naver.net/image/014/2014/02/06/20140206070246596_59_20140206070301.jpg,"
"
NULL,171,NULL,궁녀,http://imgnews.naver.net/image/075/2007/10/25/200710251152451.jpg,"
"
NULL,172,NULL,시간이탈자,http://imgnews.naver.net/image/5090/2016/03/03/20160303085734721577_99_20160303090006.jpg,"
"
NULL,173,NULL,"고독이 몸부림칠 때",http://imgnews.naver.net/image/075/2004/01/27/200401271332131.jpg,"
"
NULL,174,NULL,챔프,http://imgnews.naver.net/image/5129/2011/07/11/1310369730_177247.jpg,"
"
NULL,175,NULL,"로마의 휴일",http://shop1.phinf.naver.net/20200510_111/1589077832303mia3D_JPEG/FAH-019.jpg,"
"
NULL,176,NULL,"송가인 더 드라마",http://post.phinf.naver.net/MjAyMjAyMjdfOTQg/MDAxNjQ1OTQxNTc3ODcx.VoFUFj-w9rVfAYEeRRDQaPM5yduDzJUZHjnIZLkgH8gg.msSGPtA-EEtO-8_Av3p29w1EnH9pcKjgZ7Jj-jlVjK8g.JPEG/Igvgx646G-ZggXf2xTXHgaepra7g.jpg,"
"
NULL,177,NULL,아수라,http://imgnews.naver.net/image/057/2016/09/06/000200902660_99_20160906082104.jpg,"
"
